CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,PLUSMINUS
1631250,Pete Nance,1610612749,MIL,F,26.0,19,16,0.623,2.21,4.26,0.519,0.532,-0.013
1628449,Chris Boucher,1610612738,BOS,F,33.0,8,8,0.694,2.0,4.25,0.471,0.548,-0.078
1627752,Taurean Prince,1610612749,MIL,F,31.0,8,8,0.586,2.5,4.25,0.588,0.53,0.058
1629012,Collin Sexton,1610612741,CHI,G,27.0,50,50,0.552,2.34,4.22,0.555,0.543,0.011
1629006,Josh Okogie,1610612745,HOU,G,27.0,54,53,0.655,2.24,4.22,0.531,0.54,-0.01
1630538,Bones Hyland,1610612750,MIN,G,25.0,49,46,0.659,2.35,4.22,0.556,0.536,0.02
1631093,Jaden Ivey,1610612741,CHI,G,24.0,37,35,0.624,2.43,4.22,0.577,0.532,0.045
1630631,Jose Alvarado,1610612752,NYK,G,27.0,49,47,0.558,2.53,4.2,0.602,0.545,0.057
1628467,Maxi Kleber,1610612747,LAL,F,34.0,30,29,0.651,2.07,4.17,0.496,0.549,-0.053
203903,Jordan Clarkson,1610612752,NYK,G,33.0,51,49,0.64,2.2,4.16,0.528,0.537,-0.008
1631321,Sidy Cissoko,1610612757,POR,G,21.0,52,49,0.607,2.33,4.1,0.568,0.547,0.021
1627936,Alex Caruso,1610612760,OKC,G,32.0,39,37,0.556,2.08,4.1,0.506,0.551,-0.045
1642914,Javon Small,1610612763,MEM,G,23.0,23,22,0.566,2.22,4.09,0.543,0.535,0.008
1630198,Isaiah Joe,1610612760,OKC,G,26.0,51,50,0.521,2.35,4.08,0.577,0.544,0.033
1631243,Mouhamed Gueye,1610612737,ATL,F,23.0,58,56,0.608,2.09,4.07,0.513,0.559,-0.046
1629020,Jarred Vanderbilt,1610612747,LAL,F,26.0,48,46,0.639,2.31,4.06,0.569,0.554,0.015
201587,Nicolas Batum,1610612746,LAC,G-F,37.0,54,54,0.631,2.22,4.06,0.548,0.548,0.0
1642347,Jamal Shead,1610612761,TOR,G,23.0,59,58,0.542,2.41,4.05,0.594,0.532,0.062
1627827,Dorian Finney-Smith,1610612745,HOU,F,32.0,24,24,0.622,2.33,4.04,0.577,0.539,0.038
1631342,Daeqwon Plowden,1610612758,SAC,G-F,27.0,12,11,0.6,2.25,4.0,0.563,0.554,0.009
1631248,Baylor Scheierman,1610612738,BOS,G,25.0,51,47,0.66,1.82,4.0,0.456,0.537,-0.081
1630526,Jeremiah Robinson-Earl,1610612742,DAL,F,25.0,21,20,0.583,2.95,4.0,0.738,0.554,0.184
