CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS
1642270,Donovan Clingan,1610612757,POR,C,22.0,56,55,0.357,2.71,7.25,0.374,0.36,0.015
1642273,Kyshawn George,1610612764,WAS,F,22.0,46,46,0.417,2.59,6.67,0.388,0.359,0.028
1629029,Luka Dončić,1610612747,LAL,F-G,27.0,46,46,0.383,2.02,6.33,0.32,0.362,-0.043
1627750,Jamal Murray,1610612743,DEN,G,29.0,55,55,0.43,2.09,6.16,0.339,0.361,-0.022
1629645,Kevin Porter Jr.,1610612749,MIL,G-F,25.0,33,33,0.435,2.42,6.09,0.398,0.356,0.042
1628991,Jaren Jackson Jr.,1610612762,UTA,F-C,26.0,48,47,0.407,2.04,6.08,0.336,0.353,-0.018
1628401,Derrick White,1610612738,BOS,G,31.0,57,55,0.412,2.0,6.04,0.331,0.362,-0.03
1628973,Jalen Brunson,1610612752,NYK,G,29.0,54,54,0.457,2.09,5.93,0.353,0.364,-0.011
1641705,Victor Wembanyama,1610612759,SAS,F-C,22.0,45,45,0.35,1.82,5.91,0.308,0.352,-0.043
203952,Andrew Wiggins,1610612748,MIA,F,31.0,54,54,0.417,2.06,5.83,0.352,0.364,-0.012
1630595,Cade Cunningham,1610612765,DET,G,24.0,52,51,0.415,1.81,5.75,0.314,0.368,-0.054
1630530,Trey Murphy III,1610612740,NOP,F,25.0,52,52,0.419,2.21,5.73,0.386,0.367,0.019
1642843,Cooper Flagg,1610612742,DAL,F,19.0,49,49,0.379,1.94,5.73,0.338,0.359,-0.021
1628404,Josh Hart,1610612752,NYK,G,30.0,48,47,0.398,1.94,5.65,0.343,0.352,-0.009
1630578,Alperen Sengun,1610612745,HOU,C,23.0,50,50,0.32,2.16,5.64,0.383,0.355,0.028
1627759,Jaylen Brown,1610612738,BOS,G-F,29.0,53,53,0.489,1.79,5.64,0.318,0.356,-0.038
1630581,Josh Giddey,1610612741,CHI,G,23.0,39,39,0.414,2.13,5.59,0.381,0.361,0.02
1630700,Dyson Daniels,1610612737,ATL,G,22.0,58,58,0.387,1.95,5.55,0.351,0.361,-0.01
1628384,OG Anunoby,1610612752,NYK,F-G,28.0,46,45,0.417,1.74,5.5,0.316,0.355,-0.039
1630178,Tyrese Maxey,1610612755,PHI,G,25.0,57,57,0.434,1.98,5.49,0.361,0.365,-0.004
203468,CJ McCollum,1610612737,ATL,G,34.0,56,56,0.437,1.89,5.46,0.346,0.365,-0.018
1628368,De'Aaron Fox,1610612759,SAS,G,28.0,50,50,0.459,2.1,5.44,0.386,0.362,0.024
1630596,Evan Mobley,1610612739,CLE,C,24.0,46,46,0.316,1.83,5.43,0.336,0.362,-0.026
1641718,Keyonte George,1610612762,UTA,G,22.0,48,48,0.409,1.75,5.35,0.327,0.363,-0.036
1631157,Ryan Rollins,1610612749,MIL,G,23.0,56,56,0.408,1.89,5.34,0.355,0.361,-0.007
1641717,Cason Wallace,1610612760,OKC,G,22.0,58,58,0.443,1.88,5.34,0.352,0.358,-0.007
1631260,AJ Green,1610612749,MIL,G,26.0,54,54,0.425,1.94,5.33,0.365,0.364,0.0
1630183,Jaden McDaniels,1610612750,MIN,F,25.0,58,58,0.368,1.84,5.31,0.347,0.367,-0.02
1630567,Scottie Barnes,1610612761,TOR,F-G,24.0,57,57,0.364,1.79,5.3,0.338,0.36,-0.022
1628381,John Collins,1610612746,LAC,F-C,28.0,53,53,0.459,1.72,5.21,0.33,0.36,-0.03
1630532,Franz Wagner,1610612753,ORL,F,24.0,28,28,0.407,2.25,5.21,0.432,0.363,0.069
1642852,Derik Queen,1610612740,NOP,C,21.0,59,58,0.325,1.66,5.2,0.319,0.356,-0.036
203897,Zach LaVine,1610612758,SAC,G,30.0,39,38,0.467,2.03,5.18,0.391,0.364,0.027
1642907,Cedric Coward,1610612763,MEM,G,22.0,48,48,0.443,1.79,5.17,0.347,0.355,-0.008
1630590,Scotty Pippen Jr.,1610612763,MEM,G,25.0,7,7,0.444,1.86,5.14,0.361,0.341,0.02
202696,Nikola Vučević,1610612738,BOS,C,35.0,56,55,0.311,2.07,5.13,0.404,0.357,0.047
1628389,Bam Adebayo,1610612748,MIA,C-F,28.0,52,52,0.374,1.73,5.12,0.338,0.358,-0.019
1630583,Santi Aldama,1610612763,MEM,F-C,25.0,43,43,0.362,1.81,5.09,0.356,0.348,0.008
201142,Kevin Durant,1610612745,HOU,F,37.0,55,55,0.427,1.87,5.09,0.368,0.358,0.01
1630168,Onyeka Okongwu,1610612737,ATL,F-C,25.0,55,54,0.337,1.64,5.07,0.323,0.356,-0.034
1629628,RJ Barrett,1610612761,TOR,F-G,25.0,35,34,0.401,1.71,5.06,0.339,0.356,-0.017
1641739,Toumani Camara,1610612757,POR,F,25.0,61,61,0.354,1.8,5.03,0.358,0.366,-0.008
1629652,Luguentz Dort,1610612760,OKC,G,26.0,50,50,0.452,1.82,5.02,0.363,0.362,0.001
1631170,Jaime Jaquez Jr.,1610612748,MIA,G,25.0,55,52,0.385,1.75,5.0,0.349,0.36,-0.01
1630621,Hunter Dickinson,1610612740,NOP,C,25.0,1,1,0.625,2.0,5.0,0.4,0.34,0.06
203994,Jusuf Nurkić,1610612762,UTA,C,31.0,41,39,0.368,1.76,5.0,0.351,0.355,-0.004
1630699,MarJon Beauchamp,1610612755,PHI,F,25.0,2,2,0.5,1.0,5.0,0.2,0.327,-0.127
1631094,Paolo Banchero,1610612753,ORL,F,23.0,48,47,0.372,1.9,4.98,0.381,0.361,0.02
1630162,Anthony Edwards,1610612750,MIN,G,24.0,50,50,0.428,1.82,4.98,0.365,0.358,0.007
1628415,Dillon Brooks,1610612756,PHX,G-F,30.0,50,49,0.418,1.76,4.98,0.353,0.359,-0.006
1641824,Matas Buzelis,1610612741,CHI,F,21.0,60,60,0.35,1.85,4.98,0.371,0.363,0.008
1627783,Pascal Siakam,1610612754,IND,F,31.0,52,51,0.36,1.65,4.96,0.333,0.359,-0.025
1629636,Darius Garland,1610612746,LAC,G,26.0,26,25,0.424,2.04,4.96,0.411,0.37,0.041
1629023,P.J. Washington,1610612742,DAL,F,27.0,42,42,0.332,1.6,4.95,0.322,0.355,-0.033
1630558,Davion Mitchell,1610612748,MIA,G,27.0,49,48,0.44,1.67,4.94,0.339,0.368,-0.029
1631212,Peyton Watson,1610612743,DEN,G,23.0,49,49,0.363,1.63,4.9,0.333,0.364,-0.031
1626162,Kelly Oubre Jr.,1610612755,PHI,F-G,30.0,37,36,0.392,1.65,4.89,0.337,0.362,-0.025
1631128,Christian Braun,1610612743,DEN,G,24.0,24,23,0.393,1.33,4.88,0.274,0.358,-0.084
201935,James Harden,1610612739,CLE,G,36.0,51,51,0.376,1.61,4.86,0.331,0.351,-0.021
203076,Anthony Davis,1610612764,WAS,F-C,32.0,20,19,0.31,1.9,4.85,0.392,0.361,0.031
1628983,Shai Gilgeous-Alexander,1610612760,OKC,G,27.0,50,50,0.399,1.6,4.84,0.331,0.355,-0.024
202695,Kawhi Leonard,1610612746,LAC,F,34.0,44,44,0.446,1.95,4.84,0.404,0.357,0.047
1642259,Alex Sarr,1610612764,WAS,C,20.0,41,41,0.265,1.83,4.83,0.379,0.362,0.017
203999,Nikola Jokić,1610612743,DEN,C,31.0,44,44,0.264,1.89,4.77,0.395,0.351,0.045
1628970,Miles Bridges,1610612766,CHA,F,27.0,56,56,0.414,1.66,4.75,0.35,0.361,-0.012
1629627,Zion Williamson,1610612740,NOP,F,25.0,44,44,0.464,1.68,4.75,0.354,0.356,-0.002
1629630,Ja Morant,1610612763,MEM,G,26.0,20,20,0.438,2.05,4.75,0.432,0.365,0.066
1642847,Jeremiah Fears,1610612740,NOP,G,19.0,60,58,0.413,1.75,4.75,0.368,0.365,0.003
1631214,Alondes Williams,1610612764,WAS,G,26.0,4,4,0.5,2.0,4.75,0.421,0.358,0.063
1627742,Brandon Ingram,1610612761,TOR,F,28.0,57,56,0.433,1.56,4.74,0.33,0.363,-0.033
