CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FGM_GT_15,FGA_GT_15,GT_15_PCT,NS_GT_15_PCT,PLUSMINUS
1626157,Karl-Anthony Towns,1610612752,NYK,C-F,30.0,56,56,0.441,2.23,5.86,0.381,0.368,0.013
1631170,Jaime Jaquez Jr.,1610612748,MIA,G,25.0,55,54,0.451,2.07,5.85,0.354,0.365,-0.011
1628415,Dillon Brooks,1610612756,PHX,G-F,30.0,50,50,0.488,2.1,5.82,0.361,0.368,-0.007
1630558,Davion Mitchell,1610612748,MIA,G,27.0,49,49,0.518,1.98,5.82,0.34,0.374,-0.034
1631095,Jabari Smith Jr.,1610612745,HOU,F,22.0,57,56,0.437,2.12,5.81,0.366,0.368,-0.003
201599,DeAndre Jordan,1610612740,NOP,C,37.0,5,5,0.527,1.4,5.8,0.241,0.362,-0.121
201935,James Harden,1610612739,CLE,G,36.0,51,51,0.445,1.96,5.76,0.34,0.362,-0.022
1628374,Lauri Markkanen,1610612762,UTA,F-C,28.0,42,42,0.475,1.93,5.76,0.335,0.366,-0.031
1631094,Paolo Banchero,1610612753,ORL,F,23.0,48,47,0.425,2.23,5.69,0.392,0.367,0.025
1630559,Austin Reaves,1610612747,LAL,G,27.0,32,32,0.425,2.16,5.69,0.379,0.372,0.007
1628970,Miles Bridges,1610612766,CHA,F,27.0,56,56,0.495,2.0,5.68,0.352,0.366,-0.014
1626167,Myles Turner,1610612749,MIL,C-F,29.0,54,53,0.375,2.22,5.65,0.393,0.364,0.029
1629636,Darius Garland,1610612746,LAC,G,26.0,26,25,0.484,2.31,5.65,0.408,0.378,0.03
1642281,Jaylon Tyson,1610612739,CLE,G-F,23.0,56,56,0.501,2.13,5.59,0.38,0.372,0.009
1626162,Kelly Oubre Jr.,1610612755,PHI,F-G,30.0,37,37,0.448,1.86,5.59,0.333,0.371,-0.038
1628983,Shai Gilgeous-Alexander,1610612760,OKC,G,27.0,50,50,0.46,1.86,5.58,0.333,0.36,-0.027
1631128,Christian Braun,1610612743,DEN,G,24.0,24,24,0.446,1.54,5.54,0.278,0.368,-0.09
1630162,Anthony Edwards,1610612750,MIN,G,24.0,50,50,0.476,1.96,5.54,0.354,0.365,-0.012
1641710,Anthony Black,1610612753,ORL,G,22.0,58,56,0.414,2.03,5.53,0.368,0.374,-0.006
1631096,Chet Holmgren,1610612760,OKC,C-F,23.0,53,52,0.383,1.83,5.51,0.332,0.368,-0.036
1630699,MarJon Beauchamp,1610612755,PHI,F,25.0,2,2,0.55,1.0,5.5,0.182,0.332,-0.15
1627742,Brandon Ingram,1610612761,TOR,F,28.0,57,57,0.502,1.82,5.49,0.332,0.368,-0.036
1631109,Mark Williams,1610612756,PHX,C,24.0,55,52,0.387,1.95,5.49,0.354,0.368,-0.014
1627739,Kris Dunn,1610612746,LAC,G,31.0,58,58,0.524,2.02,5.48,0.368,0.377,-0.009
1630540,Miles McBride,1610612752,NYK,G,25.0,35,35,0.507,1.86,5.46,0.34,0.366,-0.026
1629627,Zion Williamson,1610612740,NOP,F,25.0,44,44,0.533,1.98,5.45,0.363,0.362,0.001
1630590,Scotty Pippen Jr.,1610612763,MEM,G,25.0,7,7,0.469,2.14,5.43,0.395,0.348,0.047
201950,Jrue Holiday,1610612757,POR,G,35.0,32,32,0.529,2.03,5.41,0.376,0.372,0.004
1628960,Grayson Allen,1610612756,PHX,G,30.0,38,38,0.473,2.18,5.39,0.405,0.376,0.029
1641706,Brandon Miller,1610612766,CHA,F,23.0,44,44,0.428,1.64,5.39,0.304,0.373,-0.069
1628969,Mikal Bridges,1610612752,NYK,G-F,29.0,60,60,0.437,1.95,5.38,0.362,0.372,-0.01
203944,Julius Randle,1610612750,MIN,F-C,31.0,60,60,0.458,2.03,5.37,0.379,0.375,0.004
1641709,Ausar Thompson,1610612765,DET,G-F,23.0,54,54,0.505,2.0,5.37,0.372,0.373,-0.001
1631217,Moussa Diabaté,1610612766,CHA,F,24.0,53,53,0.405,2.04,5.36,0.38,0.362,0.018
202695,Kawhi Leonard,1610612746,LAC,F,34.0,44,44,0.494,2.11,5.36,0.394,0.362,0.032
1629630,Ja Morant,1610612763,MEM,G,26.0,20,20,0.493,2.4,5.35,0.449,0.368,0.08
1629028,Deandre Ayton,1610612747,LAL,C,27.0,50,50,0.38,2.14,5.34,0.401,0.365,0.036
1641730,Noah Clowney,1610612751,BKN,F-C,21.0,53,53,0.388,2.19,5.34,0.41,0.369,0.041
1629638,Nickeil Alexander-Walker,1610612737,ATL,G,27.0,58,57,0.407,2.14,5.33,0.401,0.374,0.027
1642851,Kon Knueppel,1610612766,CHA,G-F,20.0,60,60,0.401,1.83,5.33,0.344,0.368,-0.025
1642847,Jeremiah Fears,1610612740,NOP,G,19.0,60,58,0.462,1.87,5.32,0.351,0.372,-0.021
1627751,Jakob Poeltl,1610612761,TOR,C,30.0,25,25,0.407,1.8,5.32,0.338,0.372,-0.033
1628392,Isaiah Hartenstein,1610612760,OKC,C-F,27.0,34,34,0.447,1.97,5.29,0.372,0.36,0.013
1630217,Desmond Bane,1610612753,ORL,G,27.0,58,58,0.49,1.62,5.28,0.307,0.366,-0.059
203935,Marcus Smart,1610612747,LAL,G,31.0,48,48,0.554,1.81,5.27,0.344,0.367,-0.023
1630174,Aaron Nesmith,1610612754,IND,G-F,26.0,33,32,0.445,1.67,5.27,0.316,0.369,-0.053
1631105,Jalen Duren,1610612765,DET,C,22.0,48,47,0.424,1.96,5.27,0.372,0.367,0.004
1642845,VJ Edgecombe,1610612755,PHI,G,20.0,55,54,0.406,1.76,5.27,0.334,0.368,-0.034
1630167,Obi Toppin,1610612754,IND,F,27.0,4,4,0.6,1.5,5.25,0.286,0.373,-0.088
1642264,Stephon Castle,1610612759,SAS,G,21.0,49,49,0.465,1.9,5.22,0.363,0.373,-0.01
1630191,Isaiah Stewart,1610612765,DET,F-C,24.0,48,48,0.449,2.06,5.19,0.398,0.366,0.032
203110,Draymond Green,1610612744,GSW,F,35.0,48,47,0.417,1.77,5.17,0.343,0.355,-0.013
203932,Aaron Gordon,1610612743,DEN,F,30.0,23,22,0.442,1.43,5.17,0.277,0.364,-0.087
1630552,Jalen Johnson,1610612737,ATL,F,24.0,54,53,0.397,1.72,5.15,0.335,0.362,-0.027
1630171,Isaac Okoro,1610612741,CHI,F-G,25.0,50,48,0.474,1.98,5.14,0.385,0.368,0.017
1642377,Jaylen Wells,1610612763,MEM,F,22.0,57,55,0.497,1.86,5.11,0.364,0.377,-0.013
204001,Kristaps Porziņģis,1610612744,GSW,F-C,30.0,18,17,0.371,1.5,5.11,0.293,0.358,-0.064
1641744,Zach Edey,1610612763,MEM,C,23.0,11,11,0.421,2.45,5.09,0.482,0.369,0.113
1642846,Ace Bailey,1610612762,UTA,F,19.0,52,52,0.511,1.92,5.06,0.38,0.363,0.018
1630230,Naji Marshall,1610612742,DAL,F,28.0,58,57,0.461,1.72,5.05,0.341,0.367,-0.026
1627734,Domantas Sabonis,1610612758,SAC,F-C,29.0,19,19,0.337,2.37,5.05,0.469,0.377,0.092
1629651,Nic Claxton,1610612751,BKN,C,26.0,54,54,0.375,1.89,5.04,0.375,0.372,0.003
203501,Tim Hardaway Jr.,1610612743,DEN,G-F,33.0,59,59,0.543,1.83,5.02,0.365,0.361,0.004
1628386,Jarrett Allen,1610612739,CLE,C,27.0,49,48,0.389,1.86,5.02,0.37,0.374,-0.005
1629684,Grant Williams,1610612766,CHA,F,27.0,19,19,0.528,1.47,5.0,0.295,0.359,-0.065
1631117,Walker Kessler,1610612762,UTA,C,24.0,5,5,0.325,1.2,5.0,0.24,0.369,-0.129
1630621,Hunter Dickinson,1610612740,NOP,C,25.0,1,1,0.625,2.0,5.0,0.4,0.343,0.057
1631108,Max Christie,1610612742,DAL,G,23.0,54,54,0.406,1.67,4.98,0.335,0.367,-0.033
1631230,Dominick Barlow,1610612755,PHI,F,22.0,48,47,0.425,1.98,4.98,0.397,0.364,0.033
1630193,Immanuel Quickley,1610612761,TOR,G,26.0,56,56,0.46,1.71,4.98,0.344,0.365,-0.021
1628378,Donovan Mitchell,1610612739,CLE,G,29.0,55,55,0.525,1.93,4.98,0.387,0.369,0.018
1631222,Jake LaRavia,1610612747,LAL,F,24.0,58,56,0.409,1.91,4.98,0.384,0.373,0.011
1629674,Neemias Queta,1610612738,BOS,C,26.0,55,55,0.393,1.85,4.95,0.375,0.362,0.013
