CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
1631114,Jalen Williams,1610612760,OKC,G-F,24.0,26,26,1.0,3.85,8.65,0.444,0.467,-0.023
1626181,Norman Powell,1610612748,MIA,G,32.0,48,48,1.0,4.46,8.65,0.516,0.463,0.053
1641713,GG Jackson,1610612763,MEM,F,21.0,34,34,1.0,4.18,8.65,0.483,0.468,0.015
1629001,De'Anthony Melton,1610612744,GSW,G,27.0,31,31,1.0,4.58,8.65,0.53,0.468,0.062
1642857,Kasparas Jakučionis,1610612748,MIA,G,19.0,30,30,1.0,4.23,8.6,0.492,0.461,0.031
1641854,Craig Porter Jr.,1610612739,CLE,G,26.0,52,52,1.0,3.98,8.58,0.464,0.46,0.004
1630228,Jonathan Kuminga,1610612737,ATL,F,23.0,22,22,1.0,4.23,8.55,0.495,0.469,0.026
1642461,Spencer Jones,1610612743,DEN,F,24.0,49,49,1.0,3.86,8.53,0.452,0.468,-0.016
1641783,Tristan da Silva,1610612753,ORL,F,24.0,53,53,1.0,4.04,8.51,0.475,0.462,0.013
1642942,Jahmai Mashack,1610612763,MEM,G,23.0,14,14,1.0,4.36,8.5,0.513,0.461,0.052
1627749,Dejounte Murray,1610612740,NOP,G,29.0,2,2,1.0,4.0,8.5,0.471,0.437,0.034
1630245,Ayo Dosunmu,1610612750,MIN,G,26.0,52,52,1.0,3.5,8.46,0.414,0.458,-0.044
1630543,Isaiah Jackson,1610612746,LAC,F,24.0,40,40,1.0,4.28,8.45,0.506,0.496,0.01
1629057,Robert Williams III,1610612757,POR,C-F,28.0,41,41,1.0,3.59,8.44,0.425,0.478,-0.053
1628380,Zach Collins,1610612741,CHI,F-C,28.0,10,10,1.0,3.7,8.4,0.44,0.484,-0.044
1641757,Jordan Miller,1610612746,LAC,G,26.0,36,36,1.0,3.83,8.39,0.457,0.455,0.002
1641790,PJ Hall,1610612766,CHA,C,24.0,16,16,1.0,3.94,8.38,0.47,0.477,-0.007
1642848,Tre Johnson,1610612764,WAS,G,19.0,45,45,1.0,4.04,8.38,0.483,0.457,0.026
1630611,Gui Santos,1610612744,GSW,F,23.0,45,45,1.0,4.07,8.36,0.487,0.472,0.015
1642849,Nolan Traore,1610612751,BKN,G,19.0,37,37,1.0,3.97,8.35,0.476,0.465,0.011
1629637,Jaxson Hayes,1610612747,LAL,C-F,25.0,48,48,1.0,3.77,8.33,0.453,0.483,-0.03
1631245,Quenton Jackson,1610612754,IND,G,27.0,27,27,1.0,3.7,8.3,0.446,0.459,-0.013
1631165,Keon Ellis,1610612739,CLE,G,26.0,52,52,1.0,3.83,8.25,0.464,0.464,0.0
1641716,Jarace Walker,1610612754,IND,F,22.0,59,59,1.0,4.03,8.22,0.491,0.467,0.023
1642285,Cam Spencer,1610612763,MEM,G,25.0,56,56,1.0,4.11,8.21,0.5,0.463,0.037
1642349,Ajay Mitchell,1610612760,OKC,G,23.0,43,43,1.0,3.09,8.19,0.378,0.454,-0.076
1641729,Brice Sensabaugh,1610612762,UTA,F,22.0,55,55,1.0,3.98,8.16,0.488,0.46,0.027
1628366,Lonzo Ball,1610612739,CLE,G,28.0,35,35,1.0,3.43,8.14,0.421,0.463,-0.042
1641731,Bilal Coulibaly,1610612764,WAS,G,21.0,38,38,1.0,3.95,8.13,0.485,0.479,0.007
1630557,Corey Kispert,1610612737,ATL,F,26.0,40,40,1.0,3.75,8.13,0.462,0.462,-0.001
1630163,LaMelo Ball,1610612766,CHA,G,24.0,50,50,1.0,4.06,8.1,0.501,0.457,0.044
1642266,Ja'Kobe Walter,1610612761,TOR,G,21.0,49,49,1.0,3.84,8.08,0.475,0.465,0.01
201567,Kevin Love,1610612762,UTA,F-C,37.0,31,31,1.0,4.35,8.03,0.542,0.49,0.052
1630568,Luka Garza,1610612738,BOS,C,27.0,48,48,1.0,3.98,8.0,0.497,0.485,0.012
1629660,Ty Jerome,1610612763,MEM,G-F,28.0,8,8,1.0,3.5,8.0,0.438,0.475,-0.037
1629048,Goga Bitadze,1610612753,ORL,C-F,26.0,43,43,1.0,3.74,8.0,0.468,0.484,-0.016
1630621,Hunter Dickinson,1610612740,NOP,C,25.0,1,1,1.0,4.0,8.0,0.5,0.467,0.033
1641774,Tristan Vukcevic,1610612764,WAS,F,22.0,36,36,1.0,3.89,7.94,0.49,0.482,0.008
1641737,Adem Bona,1610612755,PHI,F,22.0,50,50,1.0,3.62,7.94,0.456,0.482,-0.027
1642954,Will Richard,1610612744,GSW,G,23.0,51,51,1.0,3.82,7.92,0.483,0.46,0.023
1642262,Cody Williams,1610612762,UTA,F,21.0,43,43,1.0,3.86,7.91,0.488,0.465,0.023
1630703,Scoot Henderson,1610612757,POR,G,22.0,8,8,1.0,4.5,7.88,0.571,0.481,0.09
1631200,Kris Murray,1610612757,POR,F,25.0,38,38,1.0,3.47,7.87,0.441,0.465,-0.024
1642346,Ryan Dunn,1610612756,PHX,F,23.0,53,53,1.0,3.55,7.85,0.452,0.467,-0.015
1627741,Buddy Hield,1610612737,ATL,G,33.0,45,45,1.0,3.84,7.84,0.49,0.463,0.027
1627747,Caris LeVert,1610612765,DET,G,31.0,41,41,1.0,3.61,7.83,0.461,0.461,0.0
1630198,Isaiah Joe,1610612760,OKC,G,26.0,52,52,1.0,3.56,7.83,0.455,0.458,-0.004
1630549,Day'Ron Sharpe,1610612751,BKN,C,24.0,57,57,1.0,3.93,7.81,0.503,0.482,0.021
203939,Dwight Powell,1610612742,DAL,F-C,34.0,39,39,1.0,3.95,7.79,0.507,0.493,0.014
1626172,Kevon Looney,1610612740,NOP,F,30.0,18,18,1.0,3.78,7.78,0.486,0.485,0.001
1641707,Taylor Hendricks,1610612763,MEM,F,22.0,40,40,1.0,3.85,7.75,0.497,0.469,0.028
203937,Kyle Anderson,1610612763,MEM,F-G,32.0,24,24,1.0,4.25,7.75,0.548,0.457,0.091
1630696,Dru Smith,1610612748,MIA,G,28.0,58,58,1.0,3.33,7.74,0.43,0.459,-0.029
1629012,Collin Sexton,1610612741,CHI,G,27.0,50,50,1.0,3.46,7.64,0.453,0.458,-0.006
1631169,Josh Minott,1610612751,BKN,F,23.0,34,34,1.0,3.35,7.56,0.444,0.469,-0.026
1630192,Zeke Nnaji,1610612743,DEN,F-C,25.0,35,35,1.0,3.06,7.54,0.405,0.481,-0.075
1629640,Keldon Johnson,1610612759,SAS,F-G,26.0,59,59,1.0,3.44,7.54,0.456,0.475,-0.018
1630631,Jose Alvarado,1610612752,NYK,G,27.0,49,49,1.0,3.71,7.53,0.493,0.463,0.031
