CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,PLUSMINUS
1642259,Alex Sarr,1610612764,WAS,C,20.0,41,41,0.601,5.98,10.95,0.546,0.6,-0.054
1631117,Walker Kessler,1610612762,UTA,C,24.0,5,5,0.636,5.2,9.8,0.531,0.598,-0.068
1643133,Lawson Lovering,1610612763,MEM,C,22.0,2,2,0.704,5.0,9.5,0.526,0.613,-0.087
1630596,Evan Mobley,1610612739,CLE,C,24.0,46,46,0.541,4.61,9.28,0.496,0.602,-0.105
203999,Nikola Jokić,1610612743,DEN,C,31.0,44,44,0.497,5.5,8.98,0.613,0.597,0.015
1630578,Alperen Sengun,1610612745,HOU,C,23.0,50,50,0.508,5.12,8.94,0.573,0.605,-0.032
1627734,Domantas Sabonis,1610612758,SAC,F-C,29.0,19,19,0.589,5.68,8.84,0.643,0.608,0.035
1631099,Keegan Murray,1610612758,SAC,F,25.0,23,23,0.625,5.17,8.7,0.595,0.598,-0.003
1642270,Donovan Clingan,1610612757,POR,C,22.0,56,56,0.426,4.46,8.64,0.517,0.603,-0.087
1642852,Derik Queen,1610612740,NOP,C,21.0,59,59,0.534,4.75,8.56,0.554,0.61,-0.055
203497,Rudy Gobert,1610612750,MIN,C,33.0,57,57,0.483,4.09,8.32,0.492,0.596,-0.104
203954,Joel Embiid,1610612755,PHI,C-F,31.0,33,33,0.503,4.64,7.91,0.586,0.598,-0.012
202696,Nikola Vučević,1610612738,BOS,C,35.0,56,56,0.477,4.64,7.88,0.59,0.604,-0.015
1626167,Myles Turner,1610612749,MIL,C-F,29.0,54,53,0.518,4.24,7.8,0.544,0.597,-0.053
1631096,Chet Holmgren,1610612760,OKC,C-F,23.0,53,53,0.533,3.62,7.66,0.473,0.598,-0.125
1630168,Onyeka Okongwu,1610612737,ATL,F-C,25.0,55,55,0.507,4.58,7.62,0.601,0.599,0.003
1642843,Cooper Flagg,1610612742,DAL,F,19.0,49,49,0.497,4.14,7.53,0.55,0.59,-0.04
1629023,P.J. Washington,1610612742,DAL,F,27.0,42,41,0.502,4.36,7.5,0.581,0.599,-0.018
1641824,Matas Buzelis,1610612741,CHI,F,21.0,60,60,0.525,4.0,7.47,0.536,0.586,-0.05
1629029,Luka Dončić,1610612747,LAL,F-G,27.0,46,46,0.449,4.59,7.41,0.619,0.59,0.029
