CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FGM_LT_06,FGA_LT_06,LT_06_PCT,NS_LT_06_PCT,PLUSMINUS
1631199,Ron Harper Jr.,1610612738,BOS,G-F,25.0,13,10,0.333,0.69,1.23,0.563,0.583,-0.02
1641801,Emanuel Miller,1610612759,SAS,F,25.0,5,4,0.545,0.8,1.2,0.667,0.628,0.039
1642404,Chaz Lanier,1610612765,DET,G,24.0,12,8,0.4,0.33,1.17,0.286,0.607,-0.321
1629680,Matisse Thybulle,1610612757,POR,G-F,28.0,8,6,0.375,0.75,1.13,0.667,0.569,0.097
1631451,Javonte Cooke,1610612757,POR,G,26.0,16,13,0.486,0.75,1.13,0.667,0.624,0.042
1642358,AJ Johnson,1610612742,DAL,G,21.0,27,15,0.333,0.59,1.11,0.533,0.582,-0.048
1641763,Julian Phillips,1610612750,MIN,F,22.0,31,18,0.288,0.61,1.1,0.559,0.611,-0.053
1642885,Mohamed Diawara,1610612752,NYK,F,20.0,41,24,0.344,0.76,1.1,0.689,0.617,0.072
1642964,Brooks Barnhizer,1610612760,OKC,G,23.0,27,17,0.293,0.59,1.07,0.552,0.609,-0.058
1642368,N'Faly Dante,1610612737,ATL,C,24.0,3,2,0.375,0.33,1.0,0.333,0.601,-0.268
1630639,A.J. Lawson,1610612761,TOR,G,25.0,11,7,0.344,0.45,1.0,0.455,0.602,-0.147
1642935,Chucky Hepburn,1610612761,TOR,G,23.0,2,2,0.333,1.0,1.0,1.0,0.611,0.389
1642434,Riley Minix,1610612739,CLE,F,25.0,3,3,0.6,0.67,1.0,0.667,0.575,0.091
1641725,Trey Alexander,1610612740,NOP,G,22.0,4,3,0.211,0.75,1.0,0.75,0.587,0.163
1643141,Jahmyl Telfort,1610612746,LAC,G,24.0,3,2,0.429,0.33,1.0,0.333,0.617,-0.284
